adult,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count
False,6000000,http://www.mgm.com/#/our-titles/2083/The-Usual-Suspects,629,tt0114814,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,1995-07-19,23341568,106.0,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,False,8.1,3334
False,19000000,http://www.miramax.com/movie/from-dusk-till-dawn/,755,tt0116367,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,1996-01-19,25836616,108.0,Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,False,6.9,1644
False,8000000,,400,tt0114660,en,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,4.486179,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,1995-12-01,529766,116.0,Released,Protect. Love. Honor. Avenge.,Things to Do in Denver When You're Dead,False,6.7,87
False,900000,,880,tt0112379,nl,Antonia,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",2.030174,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,1995-09-12,0,102.0,Released,A motion picture that celebrates everything you love about life.,Antonia's Line,False,7.2,26
False,3000000,,406,tt0113247,fr,La Haine,"Aimlessly whiling away their days in the concrete environs of their dead-end suburbia, Vinz, Hubert, and Said -- a Jew, African, and an Arab -- give human faces to France's immigrant populations, their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point. La Haine means Hate.",12.108196,/jTzBED0leGPwWDqNewye11qzJgd.jpg,1995-05-31,0,98.0,Released,Three Young Friends... One Last Chance.,La Haine,False,7.9,695
False,24000000,,688,tt0112579,en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,5.951077,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,1995-05-28,182016617,135.0,Released,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,The Bridges of Madison County,False,7.3,397
False,72000000,,197,tt0112573,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,1995-05-24,210000000,177.0,Released,Every man dies. Not every man truly lives.,Braveheart,False,7.7,3404
False,1300000,,103,tt0075314,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,1976-02-07,28262574,114.0,Released,"On every street in every city, there's a nobody who dreams of being a somebody.",Taxi Driver,False,8.1,2632
False,52000000,,568,tt0112384,en,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",18.761467,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,1995-06-30,355237933,140.0,Released,"Houston, we have a problem.",Apollo 13,False,7.3,1637
False,100000000,,414,tt0112462,en,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,1995-06-16,336529144,121.0,Released,"Courage now, truth always...",Batman Forever,False,5.2,1529
False,0,,649,tt0061395,fr,Belle de jour,"Beautiful young housewife Séverine Serizy cannot reconcile her masochistic fantasies with her everyday life alongside dutiful husband Pierre. When her lovestruck friend Henri mentions a secretive high-class brothel run by Madame Anais, Séverine begins to work there during the day under the name Belle de Jour. But when one of her clients grows possessive, she must try to go back to her normal life.",10.142662,/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg,1967-05-24,0,101.0,Released,Luis Bunuel's Masterpiece of Erotica!,Belle de Jour,False,7.3,163
False,42000000,http://www.strange-days.com,281,tt0114558,en,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",11.223055,/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg,1995-10-13,7959291,145.0,Released,You know you want it.,Strange Days,False,6.8,334
False,2500000,,76,tt0112471,en,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,1995-01-27,5535405,105.0,Released,Can the greatest romance of your life last only one night?,Before Sunrise,False,7.7,984
False,18000000,,522,tt0109707,en,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",11.720358,/9qBe2sUDyY2dFH1iHq0SZb1G4QG.jpg,1994-09-27,5887457,127.0,Released,"When it came to making bad movies, Ed Wood was the best.",Ed Wood,False,7.3,639
False,0,,397,tt0113117,en,French Kiss,French Kiss is director Kasdan’s best film since the Bodyguard. The plot involves a couple in love and one woman’s attempt to fly to Paris to get her lover back from a business trip and marry him. On the way she unknowingly smuggles something of value that has a petty thief chasing her across France as she chases after her future husband.,9.146544,/bZqvonwVru1XtnniQZgZRa3Znyk.jpg,1995-05-05,0,111.0,Released,,French Kiss,False,6.2,179
False,60000000,,628,tt0110148,en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,1994-11-11,223664608,123.0,Released,Drink from me and live forever,Interview with the Vampire,False,7.2,1558
False,11000000,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,1977-05-25,775398007,121.0,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778
False,34000000,,241,tt0110632,en,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,11.226856,/w5sruoTQ87PFAGRJQyyaCOM1C4A.jpg,1994-08-25,50282766,119.0,Released,The Media Made Them Superstars.,Natural Born Killers,False,6.9,927
False,0,,527,tt0110729,en,Once Were Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",4.025276,/8QF48QS5lvtrhOclt22RFz3bSQm.jpg,1994-09-02,2201126,99.0,Released,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.",Once Were Warriors,False,7.6,106
False,16000000,,101,tt0110413,fr,Léon,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,/gE8S02QUOhVnAmYu4tcrBlMTujz.jpg,1994-09-14,45284974,110.0,Released,"If you want a job done well, hire a professional.",Leon: The Professional,False,8.2,4293
False,8000000,,680,tt0110912,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.950236,/dM2w364MScsjFf8pfMbaWUcWrR.jpg,1994-09-10,213928762,154.0,Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,False,8.3,8670
False,0,,110,tt0111495,fr,Trois couleurs : Rouge,Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work.,7.832755,/77CFEssoKesi4zvtADEpIrSKhA3.jpg,1994-05-27,0,99.0,Released,,Three Colors: Red,False,7.8,246
False,0,,108,tt0108394,fr,Trois couleurs : Bleu,A woman struggles to find a way to live her life after the death of her husband and child.,8.843517,/ztIqf7yGmb4JRFiv2i62K6PhTQR.jpg,1993-01-10,0,98.0,Released,,Three Colors: Blue,False,7.7,311
False,0,,109,tt0111507,fr,Trois couleurs : Blanc,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland.",6.5898,/xOLY69rXKwuH9JUnOE4G2HHKiW5.jpg,1994-01-26,0,91.0,Released,,Three Colors: White,False,7.3,218
False,25000000,,278,tt0111161,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,1994-09-23,28341469,142.0,Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,False,8.5,8358
False,38000000,,193,tt0111280,en,Star Trek: Generations,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,8.105708,/wjrXjlNpDq9U8vYmAwf420yDFtn.jpg,1994-11-17,120000000,118.0,Released,Boldly go.,Star Trek: Generations,False,6.4,461
False,3000000,,236,tt0110598,en,Muriel's Wedding,"Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.",5.254847,/qoZShHm8QTrHAR80LypwI0SYp8I.jpg,1994-09-29,15119639,106.0,Released,Success is the best revenge.,Muriel's Wedding,False,6.9,104
False,46000000,,888,tt0109813,en,The Flintstones,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,15.019586,/dnYXJZgstixBsOjF4JJrPCDRd2n.jpg,1994-05-26,341631208,91.0,Released,Yabba-Dabba-Doo!,The Flintstones,False,5.0,559
False,55000000,,13,tt0109830,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg,1994-07-06,677945399,142.0,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,False,8.2,8147
False,6000000,http://workingtitlefilms.com/film.php?filmID=59,712,tt0109831,en,Four Weddings and a Funeral,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,8.990345,/md9kMKnLG8LG4pMDM98gy5x4K5L.jpg,1994-03-09,254700832,117.0,Released,Five good reasons to stay single.,Four Weddings and a Funeral,False,6.6,654
False,23000000,,854,tt0110475,en,The Mask,"When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist.",14.13488,/v8x8p441l1Bep8p82pAG6rduBoK.jpg,1994-07-29,351583407,101.0,Released,From zero to hero.,The Mask,False,6.6,2550
False,45000,,315,tt0059170,en,"Faster, Pussycat! Kill! Kill!","Three strippers seeking thrills encounter a young couple in the desert. After dispatching the boyfriend, they take the girl hostage and begin scheming on a crippled old man living with his two sons in the desert, reputedly hiding a tidy sum of cash. They become house guests of the old man and try and seduce the sons in an attempt to locate the money, not realizing that the old man has a few sinister intentions of his own.",4.220541,/u0YrGkpjL5H190qqEsQavZ2WrV5.jpg,1965-08-06,0,83.0,Released,Go-Go For a Wild Ride With the ACTION GIRLS!,"Faster, Pussycat! Kill! Kill!",False,6.5,59
False,50000000,,306,tt0109254,en,Beverly Hills Cop III,"Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring – and it's run by the same gang that shot Billy's boss.",11.787784,/tw9gAhqQcBFX0X0XfVbWqUsmzoU.jpg,1994-05-24,119208989,104.0,Released,,Beverly Hills Cop III,False,5.5,445
False,0,http://www.mgm.com/#/our-titles/215/Blown-Away,178,tt0109303,en,Blown Away,Blown Away tells the story of Jimmy Dove who works for the Boston bomb squad. Shortly after Dove leaves the force his partner is killed by a bomb that Dove thinks might have been made by someone he knows.,13.155071,/elDZEW6wkGHTAwIUDrNMARNgxPY.jpg,1994-07-01,30156002,121.0,Released,5. 4. 3. 2. 1......Time's Up.,Blown Away,False,6.0,126
False,0,,6,tt0107286,en,Judgment Night,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,/lNXmgUrP6h1nD53gkFh4WDzT6RZ.jpg,1993-10-15,12136938,110.0,Released,Don't move. Don't whisper. Don't even breathe.,Judgment Night,False,6.4,79
False,63000000,http://www.jurassicpark.com/,329,tt0107290,en,Jurassic Park,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg,1993-06-11,920100000,127.0,Released,An adventure 65 million years in the making.,Jurassic Park,False,7.6,4956
False,1500000,,507,tt0110265,en,Killing Zoe,"Zed (Eric Stoltz) is an American vault-cracker who travels to Paris to meet up with his old friend Eric (Jean-Hugues Anglade). Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege.",4.948569,/jAnpPlUUhBqztIfCfg3OKsTYMhu.jpg,1993-10-01,418961,96.0,Released,,Killing Zoe,False,6.1,111
False,25000000,,788,tt0107614,en,Mrs. Doubtfire,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",11.16553,/jx4NvllNGN7o5bpIhcCMh26Xwaj.jpg,1993-11-24,441286195,125.0,Released,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,False,7.0,1638
False,7000000,,713,tt0107822,en,The Piano,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts.",7.436758,/yuGqa81ye11dDAeBZ9MResJSmoY.jpg,1993-05-19,116700000,121.0,Released,,The Piano,False,7.1,290
False,22000000,http://www.schindlerslist.com/,424,tt0108052,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,41.725123,/yPisjyLweCl1tbgwgtzBCNCBle.jpg,1993-11-29,321365567,195.0,Released,"Whoever saves one life, saves the world entire.",Schindler's List,False,8.3,4436
False,0,,695,tt0108122,en,Short Cuts,"Multi-storied, fish-eyed look at American culture with some 22 characters intersecting--profoundly or fleetingly--through each other's lives. Running the emotional gamut from disturbing to humorous, Altman's portrait of the contemporary human condition is nevertheless fascinating. Based on nine stories and a prose poem by Raymond Carver.",8.829337,/op1Us7HA7bgkJqRUhcoZQrVBHzr.jpg,1993-09-05,6110979,187.0,Released,Short Cuts raises the roof on America.,Short Cuts,False,6.9,136
False,21000000,,858,tt0108160,en,Sleepless in Seattle,A young boy who tries to set his dad up on a date after the death of his mother. He calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a Journalist Annie who flies to Seattle to write a story about the boy and his dad. Yet Annie ends up with more than just a story in this popular romantic comedy.,10.234919,/afkYP15OeUOD0tFEmj6VvejuOcz.jpg,1993-06-24,227799884,105.0,Released,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",Sleepless in Seattle,False,6.5,630
False,40000000,,867,tt0108162,en,Sliver,A women moves into an apartment in Manhattan and learns that the previous tenant's life ended mysteriously after the tenant fell from the balcony.,11.23297,/av21Dfu31DQPtp5jkorMMS58rQC.jpg,1993-05-21,116300000,108.0,Released,You like to watch... don't you?,Sliver,False,4.9,144
False,28000000,http://www.warnerbros.com/blade-runner,78,tt0083658,en,Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",96.272374,/p64TtbZGCElxQHpAMWmDHkWJlH2.jpg,1982-06-25,33139618,117.0,Released,Man has made his match... now it's his problem.,Blade Runner,False,7.9,3833
False,12500000,,319,tt0108399,en,True Romance,"Clarence marries hooker Alabama, steals cocaine from her pimp, and tries to sell it in Hollywood, while the owners of the coke try to reclaim it.",17.189328,/xBO8R3CZfrJ9rrwrZoJ68PgJyAR.jpg,1993-09-09,12281551,120.0,Released,"Stealing, Cheating, Killing. Who said romance was dead?",True Romance,False,7.5,762
False,18000000,https://www.foxconnect.com/home-alone-4.html,771,tt0099785,en,Home Alone,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.",0.702543,/8IWPBT1rkAaI8Kpk5V3WfQRklJ7.jpg,1990-11-09,476684675,103.0,Released,A Family Comedy Without the Family.,Home Alone,False,7.1,2487
False,22000000,,251,tt0099653,en,Ghost,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",11.945397,/rtxy3cplRFPUvruZajpcoxOQ7bi.jpg,1990-07-12,505000000,127.0,Released,A love that will last forever.,Ghost,False,6.9,1381
False,28000000,http://movies.disney.com/aladdin,812,tt0103639,en,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",16.357419,/7f53XAE4nPiGe9XprpGAeWHuKPw.jpg,1992-11-25,504050219,90.0,Released,Wish granted!,Aladdin,False,7.4,3495
False,100000000,,280,tt0103064,en,Terminator 2: Judgment Day,"Nearly 10 years have passed since Sarah Connor was targeted for termination by a cyborg from the future. Now her son, John, the future leader of the resistance, is the target for a newer, more deadly terminator. Once again, the resistance has managed to send a protector back to attempt to save John and his mother Sarah.",22.661695,/2y4dmgWYRMYXdD1UyJVcn2HSd1D.jpg,1991-07-01,520000000,137.0,Released,It's nothing personal.,Terminator 2: Judgment Day,False,7.7,4274
False,22000000,,581,tt0099348,en,Dances with Wolves,"Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",11.654349,/hpmclspug1I8EwKSWhL7pWWltA.jpg,1990-11-09,424208848,181.0,Released,Inside everyone is a frontier waiting to be discovered.,Dances with Wolves,False,7.6,1084
False,35000000,,268,tt0096895,en,Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker, who has seized control of Gotham's underworld.",19.10673,/kBf3g9crrADGMc2AMAMlLBgSm2h.jpg,1989-06-23,411348924,126.0,Released,Have you ever danced with the devil in the pale moonlight?,Batman,False,7.0,2145
False,19000000,,274,tt0102926,en,The Silence of the Lambs,"FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose.",4.307222,/qjAyTj2BSth1EQ89vNfo0JYVPFN.jpg,1991-02-01,272742922,119.0,Released,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,False,8.1,4549
